Start	Duration	Audio I/O Thread	Client Process	Input Sample Time	Input Host Time	Output Sample Time	Output Host Time	
00:05.410.765	183.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	128,740	6488892131997	130,788	6488893246554	
00:05.433.996	188.58 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	129,764	6488892689276	131,812	6488893803833	
00:05.457.198	170.00 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	130,788	6488893246554	132,836	6488894361112	
00:05.480.418	173.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	131,812	6488893803833	133,860	6488894918390	
00:05.503.637	185.46 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	132,836	6488894361112	134,884	6488895475669	
00:05.526.875	265.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	133,860	6488894918390	135,908	6488896032948	
00:05.550.074	105.92 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	134,884	6488895475669	136,932	6488896590226	
00:05.573.321	166.50 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	135,908	6488896032948	137,956	6488897147505	
00:05.596.544	214.67 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	136,932	6488896590226	138,980	6488897704783	
00:05.619.762	221.25 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	137,956	6488897147505	140,004	6488898262062	
00:05.642.994	197.96 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	138,980	6488897704783	141,028	6488898819341	
00:05.666.195	189.62 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	140,004	6488898262062	142,052	6488899376619	
00:05.689.421	201.58 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	141,028	6488898819341	143,076	6488899933898	
00:05.712.642	222.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	142,052	6488899376619	144,100	6488900491177	
00:05.735.877	275.04 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	143,076	6488899933898	145,124	6488901048455	
00:05.759.070	116.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	144,100	6488900491177	146,148	6488901605734	
00:05.782.306	198.29 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	145,124	6488901048455	147,172	6488902163013	
00:05.805.496	171.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	146,148	6488901605734	148,196	6488902720291	
00:05.828.717	181.33 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	147,172	6488902163013	149,220	6488903277570	
00:05.851.983	201.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	148,196	6488902720291	150,244	6488903834849	
00:05.875.158	174.50 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	149,220	6488903277570	151,268	6488904392127	
00:05.898.389	180.50 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	150,244	6488903834849	152,292	6488904949406	
00:05.921.629	212.08 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	151,268	6488904392127	153,316	6488905506684	
